,latitude,longitude
0,-58.75,-69.25
1,-58.5,-70.5
2,-58.5,-70.25
3,-58.5,-70.0
4,-58.5,-69.75
5,-58.5,-69.5
6,-58.5,-69.25
7,-58.25,-71.5
8,-58.25,-71.25
9,-58.25,-71.0
10,-58.25,-70.75
11,-58.25,-70.5
12,-58.25,-70.25
13,-58.25,-70.0
14,-58.25,-69.75
15,-58.25,-69.5
16,-58.25,-69.25
17,-58.0,-72.25
18,-58.0,-72.0
19,-58.0,-71.75
20,-58.0,-71.5
21,-58.0,-71.25
22,-58.0,-71.0
23,-58.0,-70.75
24,-58.0,-70.5
25,-58.0,-70.25
26,-58.0,-70.0
27,-58.0,-69.75
28,-58.0,-69.5
29,-58.0,-69.25
30,-57.75,-72.75
31,-57.75,-72.5
32,-57.75,-72.25
33,-57.75,-72.0
34,-57.75,-71.75
35,-57.75,-71.5
36,-57.75,-71.25
37,-57.75,-71.0
38,-57.75,-70.75
39,-57.75,-70.5
40,-57.75,-70.25
41,-57.75,-70.0
42,-57.75,-69.75
43,-57.75,-69.5
44,-57.75,-69.25
45,-57.5,-73.25
46,-57.5,-73.0
47,-57.5,-72.75
48,-57.5,-72.5
49,-57.5,-72.25
50,-57.5,-72.0
51,-57.5,-71.75
52,-57.5,-71.5
53,-57.5,-71.25
54,-57.5,-71.0
55,-57.5,-70.75
56,-57.5,-70.5
57,-57.5,-70.25
58,-57.5,-70.0
59,-57.5,-69.75
60,-57.5,-69.5
61,-57.5,-69.25
62,-57.25,-73.75
63,-57.25,-73.5
64,-57.25,-73.25
65,-57.25,-73.0
66,-57.25,-72.75
67,-57.25,-72.5
68,-57.25,-72.25
69,-57.25,-72.0
70,-57.25,-71.75
71,-57.25,-71.5
72,-57.25,-71.25
73,-57.25,-71.0
74,-57.25,-70.75
75,-57.25,-70.5
76,-57.25,-70.25
77,-57.25,-70.0
78,-57.25,-69.75
79,-57.25,-69.5
80,-57.25,-69.25
81,-57.0,-74.25
82,-57.0,-74.0
83,-57.0,-73.75
84,-57.0,-73.5
85,-57.0,-73.25
86,-57.0,-73.0
87,-57.0,-72.75
88,-57.0,-72.5
89,-57.0,-72.25
90,-57.0,-72.0
91,-57.0,-71.75
92,-57.0,-71.5
93,-57.0,-71.25
94,-57.0,-71.0
95,-57.0,-70.75
96,-57.0,-70.5
97,-57.0,-70.25
98,-57.0,-70.0
